experiment_group,variant_name,seed,status,final_step,has_nan,has_checkpoint,has_train_log,has_eval_log,train_log_rows,eval_log_rows,first_train_step,last_train_step,median_train_step_delta,configured_target_step,expected_train_points,missing_train_fields,error,run_dir
actor_critic_parameterization,partially_shared_actor_critic,0,completed,131098,False,True,True,True,2,2,65549,131098,65549,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_0
actor_critic_parameterization,partially_shared_actor_critic,1,completed,131092,False,True,True,True,2,2,65542,131092,65550,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_1
actor_critic_parameterization,partially_shared_actor_critic,2,completed,131094,False,True,True,True,2,2,65553,131094,65541,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_2
actor_critic_parameterization,partially_shared_actor_critic,3,completed,131093,False,True,True,True,2,2,65554,131093,65539,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_3
actor_critic_parameterization,partially_shared_actor_critic,4,completed,131082,False,True,True,True,2,2,65541,131082,65541,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_4
actor_critic_parameterization,partially_shared_actor_critic,5,completed,131103,False,True,True,True,2,2,65554,131103,65549,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_5
actor_critic_parameterization,partially_shared_actor_critic,6,completed,131093,False,True,True,True,2,2,65545,131093,65548,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_6
actor_critic_parameterization,partially_shared_actor_critic,7,completed,131101,False,True,True,True,2,2,65547,131101,65554,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_7
actor_critic_parameterization,partially_shared_actor_critic,8,completed,131091,False,True,True,True,2,2,65538,131091,65553,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_8
actor_critic_parameterization,partially_shared_actor_critic,9,completed,131098,False,True,True,True,2,2,65546,131098,65552,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/actor_critic_parameterization/partially_shared_actor_critic/seed_9
framework_ablation,SERPPO,0,completed,196618,False,True,True,True,3,3,65541,196618,65540,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_0
framework_ablation,SERPPO,1,completed,196628,False,True,True,True,3,3,65538,196628,65550,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_1
framework_ablation,SERPPO,2,completed,196645,False,True,True,True,3,3,65550,196645,65554,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_2
framework_ablation,SERPPO,3,completed,196632,False,True,True,True,3,3,65538,196632,65548,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_3
framework_ablation,SERPPO,4,completed,196635,False,True,True,True,3,3,65552,196635,65546,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_4
framework_ablation,SERPPO,5,completed,196622,False,True,True,True,3,3,65544,196622,65540,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_5
framework_ablation,SERPPO,6,completed,196632,False,True,True,True,3,3,65554,196632,65542,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_6
framework_ablation,SERPPO,7,completed,196619,False,True,True,True,3,3,65537,196619,65542,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_7
framework_ablation,SERPPO,8,completed,196640,False,True,True,True,3,3,65552,196640,65545,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_8
framework_ablation,SERPPO,9,completed,196631,False,True,True,True,3,3,65536,196631,65553,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO/seed_9
framework_ablation,SERPPO-noAM,0,completed,196651,False,True,True,True,3,3,65553,196651,65553,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_0
framework_ablation,SERPPO-noAM,1,completed,196644,False,True,True,True,3,3,65544,196644,65551,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_1
